dataset,model,seed,explainer,train_wall_seconds,explain_wall_seconds,accuracy,auc,source,ap,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10
synthetic_known_features,mlp,1,gradient_abs,0.34560229999988223,0.0006236999979591928,0.8579591836734693,0.933123463964132,permuted,0.4407446311858077,0.0,0.3333333333333333,0.4,0.25,0.625
synthetic_known_features,mlp,1,gradient_abs,0.34560229999988223,0.0006236999979591928,0.8579591836734693,0.933123463964132,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,1,gradient_abs,0.34560229999988223,0.0006236999979591928,0.8579591836734693,0.933123463964132,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,2,coefficient_abs,0.0064305000014428515,7.299997378140688e-06,0.929795918367347,0.971406409101329,real,0.9338235294117647,1.0,1.0,1.0,0.625,0.875
synthetic_known_features,logreg,2,coefficient_abs,0.0064305000014428515,7.299997378140688e-06,0.929795918367347,0.971406409101329,random,0.5159264346764346,0.0,0.6666666666666666,0.6,0.375,0.5
synthetic_known_features,logreg,2,coefficient_abs,0.0064305000014428515,7.299997378140688e-06,0.929795918367347,0.971406409101329,permuted,0.49593411082381667,1.0,0.6666666666666666,0.4,0.25,0.375
synthetic_known_features,logreg,2,coefficient_abs,0.0064305000014428515,7.299997378140688e-06,0.929795918367347,0.971406409101329,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,2,coefficient_abs,0.0064305000014428515,7.299997378140688e-06,0.929795918367347,0.971406409101329,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,2,gini_importance,0.5616470999993908,0.13470299999971758,0.9436734693877551,0.981588894160798,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,2,gini_importance,0.5616470999993908,0.13470299999971758,0.9436734693877551,0.981588894160798,random,0.3411506707946336,0.0,0.3333333333333333,0.4,0.25,0.25
synthetic_known_features,rf,2,gini_importance,0.5616470999993908,0.13470299999971758,0.9436734693877551,0.981588894160798,permuted,0.676316045066045,1.0,0.6666666666666666,0.8,0.5,0.5
synthetic_known_features,rf,2,gini_importance,0.5616470999993908,0.13470299999971758,0.9436734693877551,0.981588894160798,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,2,gini_importance,0.5616470999993908,0.13470299999971758,0.9436734693877551,0.981588894160798,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,2,permutation_auc_drop,0.46002929999667685,1.0262840999967011,0.9567346938775511,0.9854539735681879,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,2,permutation_auc_drop,0.46002929999667685,1.0262840999967011,0.9567346938775511,0.9854539735681879,random,0.7867944748749702,1.0,1.0,1.0,0.625,0.625
synthetic_known_features,hgb,2,permutation_auc_drop,0.46002929999667685,1.0262840999967011,0.9567346938775511,0.9854539735681879,permuted,0.45208333333333334,1.0,0.3333333333333333,0.2,0.125,0.5
synthetic_known_features,hgb,2,permutation_auc_drop,0.46002929999667685,1.0262840999967011,0.9567346938775511,0.9854539735681879,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,2,permutation_auc_drop,0.46002929999667685,1.0262840999967011,0.9567346938775511,0.9854539735681879,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,2,gradient_abs,0.28454450000208453,0.0003104999996139668,0.9257142857142857,0.9747117183876488,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,2,gradient_abs,0.28454450000208453,0.0003104999996139668,0.9257142857142857,0.9747117183876488,random,0.4231395432053327,0.0,0.3333333333333333,0.4,0.25,0.375
synthetic_known_features,mlp,2,gradient_abs,0.28454450000208453,0.0003104999996139668,0.9257142857142857,0.9747117183876488,permuted,0.524212775528565,1.0,0.3333333333333333,0.4,0.25,0.625
synthetic_known_features,mlp,2,gradient_abs,0.28454450000208453,0.0003104999996139668,0.9257142857142857,0.9747117183876488,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,2,gradient_abs,0.28454450000208453,0.0003104999996139668,0.9257142857142857,0.9747117183876488,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,3,coefficient_abs,0.0031075999977474567,7.500002539018169e-06,0.7885714285714286,0.8604447216624551,real,0.8943452380952381,1.0,1.0,1.0,0.625,0.75
synthetic_known_features,logreg,3,coefficient_abs,0.0031075999977474567,7.500002539018169e-06,0.7885714285714286,0.8604447216624551,random,0.5331807081807082,0.0,0.3333333333333333,0.4,0.25,0.75
synthetic_known_features,logreg,3,coefficient_abs,0.0031075999977474567,7.500002539018169e-06,0.7885714285714286,0.8604447216624551,permuted,0.3794892607392607,0.0,0.3333333333333333,0.2,0.125,0.25
synthetic_known_features,logreg,3,coefficient_abs,0.0031075999977474567,7.500002539018169e-06,0.7885714285714286,0.8604447216624551,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,3,coefficient_abs,0.0031075999977474567,7.500002539018169e-06,0.7885714285714286,0.8604447216624551,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,3,gini_importance,0.5160261000019091,0.06085069999971893,0.9428571428571428,0.981655631257397,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,3,gini_importance,0.5160261000019091,0.06085069999971893,0.9428571428571428,0.981655631257397,random,0.5617521367521368,1.0,0.3333333333333333,0.4,0.25,0.625
synthetic_known_features,rf,3,gini_importance,0.5160261000019091,0.06085069999971893,0.9428571428571428,0.981655631257397,permuted,0.41751721414550363,0.0,0.3333333333333333,0.4,0.25,0.375
synthetic_known_features,rf,3,gini_importance,0.5160261000019091,0.06085069999971893,0.9428571428571428,0.981655631257397,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,3,gini_importance,0.5160261000019091,0.06085069999971893,0.9428571428571428,0.981655631257397,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,3,permutation_auc_drop,0.4394021000007342,1.1740160000008473,0.9510204081632653,0.9848329761485889,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,3,permutation_auc_drop,0.4394021000007342,1.1740160000008473,0.9510204081632653,0.9848329761485889,random,0.4372993326118326,0.0,0.3333333333333333,0.4,0.25,0.5
synthetic_known_features,hgb,3,permutation_auc_drop,0.4394021000007342,1.1740160000008473,0.9510204081632653,0.9848329761485889,permuted,0.45277777777777783,1.0,0.3333333333333333,0.2,0.125,0.25
synthetic_known_features,hgb,3,permutation_auc_drop,0.4394021000007342,1.1740160000008473,0.9510204081632653,0.9848329761485889,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,3,permutation_auc_drop,0.4394021000007342,1.1740160000008473,0.9510204081632653,0.9848329761485889,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,3,gradient_abs,0.38366269999824,0.0005447000003186986,0.9142857142857143,0.9649425838851038,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,3,gradient_abs,0.38366269999824,0.0005447000003186986,0.9142857142857143,0.9649425838851038,random,0.4091771178168237,0.0,0.3333333333333333,0.2,0.125,0.375
synthetic_known_features,mlp,3,gradient_abs,0.38366269999824,0.0005447000003186986,0.9142857142857143,0.9649425838851038,permuted,0.31637293627425206,0.0,0.0,0.2,0.125,0.25
synthetic_known_features,mlp,3,gradient_abs,0.38366269999824,0.0005447000003186986,0.9142857142857143,0.9649425838851038,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,3,gradient_abs,0.38366269999824,0.0005447000003186986,0.9142857142857143,0.9649425838851038,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,4,coefficient_abs,0.006204400000569876,7.399998139590025e-06,0.9085714285714286,0.9659046684828098,real,0.8076388888888889,1.0,1.0,0.8,0.5,0.75
synthetic_known_features,logreg,4,coefficient_abs,0.006204400000569876,7.399998139590025e-06,0.9085714285714286,0.9659046684828098,random,0.6411801841948901,1.0,0.6666666666666666,0.8,0.5,0.625
synthetic_known_features,logreg,4,coefficient_abs,0.006204400000569876,7.399998139590025e-06,0.9085714285714286,0.9659046684828098,permuted,0.8300937001594897,1.0,1.0,0.8,0.5,0.75
synthetic_known_features,logreg,4,coefficient_abs,0.006204400000569876,7.399998139590025e-06,0.9085714285714286,0.9659046684828098,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,logreg,4,coefficient_abs,0.006204400000569876,7.399998139590025e-06,0.9085714285714286,0.9659046684828098,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,4,gini_importance,0.5512180000005173,0.08584999999948195,0.9444897959183673,0.9818794415093536,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,4,gini_importance,0.5512180000005173,0.08584999999948195,0.9444897959183673,0.9818794415093536,random,0.4554677960927961,1.0,0.3333333333333333,0.2,0.125,0.375
synthetic_known_features,rf,4,gini_importance,0.5512180000005173,0.08584999999948195,0.9444897959183673,0.9818794415093536,permuted,0.49875554388422033,1.0,0.6666666666666666,0.4,0.25,0.25
synthetic_known_features,rf,4,gini_importance,0.5512180000005173,0.08584999999948195,0.9444897959183673,0.9818794415093536,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,rf,4,gini_importance,0.5512180000005173,0.08584999999948195,0.9444897959183673,0.9818794415093536,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,4,permutation_auc_drop,0.43101949999982025,0.9660638000023027,0.9510204081632653,0.9830416309035755,real,0.9464285714285714,1.0,1.0,1.0,0.625,0.875
synthetic_known_features,hgb,4,permutation_auc_drop,0.43101949999982025,0.9660638000023027,0.9510204081632653,0.9830416309035755,random,0.5501720501720502,1.0,0.3333333333333333,0.2,0.125,0.625
synthetic_known_features,hgb,4,permutation_auc_drop,0.43101949999982025,0.9660638000023027,0.9510204081632653,0.9830416309035755,permuted,0.36909722222222224,0.0,0.0,0.2,0.125,0.5
synthetic_known_features,hgb,4,permutation_auc_drop,0.43101949999982025,0.9660638000023027,0.9510204081632653,0.9830416309035755,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,hgb,4,permutation_auc_drop,0.43101949999982025,0.9660638000023027,0.9510204081632653,0.9830416309035755,oracle,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,4,gradient_abs,0.3973273000010522,0.0005217999969318043,0.9248979591836735,0.976151127270401,real,1.0,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,4,gradient_abs,0.3973273000010522,0.0005217999969318043,0.9248979591836735,0.976151127270401,random,0.42844516594516596,0.0,0.3333333333333333,0.4,0.25,0.5
synthetic_known_features,mlp,4,gradient_abs,0.3973273000010522,0.0005217999969318043,0.9248979591836735,0.976151127270401,permuted,0.5685228696741854,1.0,0.6666666666666666,0.4,0.25,0.5
synthetic_known_features,mlp,4,gradient_abs,0.3973273000010522,0.0005217999969318043,0.9248979591836735,0.976151127270401,constant,0.4,1.0,1.0,1.0,0.625,1.0
synthetic_known_features,mlp,4,gradient_abs,0.3973273000010522,0.0005217999969318043,0.9248979591836735,0.976151127270401,oracle,1.0,1.0,1.0,1.0,0.625,1.0
