ds,model,method,inst,conf,instab_seed,top5_seed
adult,logreg,linshap,129,0.99791856389211,0.0,1.0
adult,logreg,linshap,130,0.8835672348858106,-2.220446049250313e-16,1.0
adult,logreg,linshap,131,0.8467126629234392,-2.220446049250313e-16,1.0
adult,logreg,linshap,132,0.9203203142844544,2.220446049250313e-16,1.0
adult,logreg,linshap,133,0.8784294475513953,2.220446049250313e-16,1.0
adult,logreg,linshap,134,0.5487312822724433,-2.220446049250313e-16,1.0
adult,logreg,linshap,135,0.6240802823100127,0.0,1.0
adult,logreg,linshap,136,0.6508419138983657,2.220446049250313e-16,1.0
adult,logreg,linshap,137,0.5234587653688918,-2.220446049250313e-16,1.0
adult,logreg,linshap,138,0.9987889936025972,-2.220446049250313e-16,1.0
adult,logreg,linshap,139,0.9441264007281637,0.0,1.0
adult,logreg,linshap,140,0.9594282816795427,0.0,1.0
adult,logreg,linshap,141,0.9915400539054702,-2.220446049250313e-16,1.0
adult,logreg,linshap,142,0.8084198203775376,-2.220446049250313e-16,1.0
adult,logreg,linshap,143,0.7361332055542801,-2.220446049250313e-16,1.0
adult,logreg,linshap,144,0.9846730107323459,0.0,1.0
adult,logreg,linshap,145,0.859662457450914,0.0,1.0
adult,logreg,linshap,146,0.7648376919391622,0.0,1.0
adult,logreg,linshap,147,0.9413969287603038,2.220446049250313e-16,1.0
adult,logreg,linshap,148,0.8685947692729675,0.0,1.0
adult,logreg,linshap,149,0.5500913927125377,2.220446049250313e-16,1.0
adult,logreg,linshap,150,0.7344573212553664,-2.220446049250313e-16,1.0
adult,logreg,linshap,151,0.9926013349397437,0.0,1.0
adult,logreg,linshap,152,0.9989035967332003,0.0,1.0
adult,logreg,linshap,153,0.6445847109933284,0.0,1.0
adult,logreg,linshap,154,0.8578217671073466,2.220446049250313e-16,1.0
adult,logreg,linshap,155,0.9921694350310506,2.220446049250313e-16,1.0
adult,logreg,linshap,156,0.9801687845632356,-2.220446049250313e-16,1.0
adult,logreg,linshap,157,0.9937887051250256,-2.220446049250313e-16,1.0
adult,logreg,linshap,158,0.9939661812906457,-2.220446049250313e-16,1.0
adult,logreg,linshap,159,0.9991042855161243,0.0,1.0
adult,logreg,linshap,160,0.616005652879667,-2.220446049250313e-16,1.0
adult,logreg,linshap,161,0.5005155014576441,0.0,1.0
adult,logreg,linshap,162,0.9361854583870388,2.220446049250313e-16,1.0
adult,logreg,linshap,163,0.6207499832822698,-2.220446049250313e-16,1.0
adult,logreg,linshap,164,0.9677790617563706,0.0,1.0
adult,logreg,linshap,165,0.8901688228569997,0.0,1.0
adult,logreg,linshap,166,0.9578850540957878,0.0,1.0
adult,logreg,linshap,167,0.7869229678385029,0.0,1.0
adult,logreg,linshap,168,0.5992069574832009,2.220446049250313e-16,1.0
adult,logreg,linshap,169,0.5194289607743403,0.0,1.0
adult,logreg,linshap,170,0.9918801163233514,2.220446049250313e-16,1.0
adult,logreg,linshap,171,0.6569729672424008,0.0,1.0
adult,logreg,linshap,172,0.5177966847163383,-2.220446049250313e-16,1.0
adult,logreg,linshap,173,0.9957529896885007,0.0,1.0
adult,logreg,linshap,174,0.5748266111415081,2.220446049250313e-16,1.0
adult,logreg,linshap,175,0.6231845905731155,0.0,1.0
adult,logreg,linshap,176,0.7000880407225544,-2.220446049250313e-16,1.0
adult,logreg,linshap,177,0.9992326095690439,0.0,1.0
adult,logreg,linshap,178,0.9949443608290783,0.0,1.0
adult,logreg,linshap,179,0.8544616276661049,0.0,1.0
adult,logreg,linshap,180,0.9253048890842642,2.220446049250313e-16,1.0
adult,logreg,linshap,181,0.9910612457586604,-2.220446049250313e-16,1.0
adult,logreg,linshap,182,0.5109918651005784,0.0,1.0
adult,logreg,linshap,183,0.9203697923851074,2.220446049250313e-16,1.0
adult,logreg,linshap,184,0.8102764082205234,0.0,1.0
adult,logreg,linshap,185,0.9641081141387197,0.0,1.0
adult,logreg,linshap,186,0.5809501535971202,-2.220446049250313e-16,1.0
adult,logreg,linshap,187,0.6052842135035221,-2.220446049250313e-16,1.0
adult,logreg,linshap,188,0.9472926031600301,0.0,1.0
adult,logreg,linshap,189,0.9783396025580654,0.0,1.0
adult,logreg,linshap,190,0.9626268446421828,2.220446049250313e-16,1.0
adult,logreg,linshap,191,0.8196798176358356,0.0,1.0
adult,logreg,linshap,192,0.9750912647847407,2.220446049250313e-16,1.0
adult,logreg,linshap,193,0.9754120049882719,-2.220446049250313e-16,1.0
adult,logreg,linshap,194,0.9933172018624573,0.0,1.0
adult,logreg,linshap,195,0.9928326519728369,2.220446049250313e-16,1.0
adult,logreg,linshap,196,0.9395584082619276,0.0,1.0
adult,logreg,linshap,197,0.977108891454088,0.0,1.0
adult,logreg,linshap,198,0.9909548604891546,0.0,1.0
adult,logreg,linshap,199,0.9370230904235974,0.0,1.0
adult,logreg,linshap,200,0.6237409472925972,0.0,1.0
adult,logreg,linshap,201,0.7640397409407607,0.0,1.0
adult,logreg,linshap,202,0.873200317415144,0.0,1.0
adult,logreg,linshap,203,0.8309800294371221,0.0,1.0
adult,logreg,linshap,204,0.8484092650524703,2.220446049250313e-16,1.0
adult,logreg,linshap,205,0.9831654605650655,0.0,1.0
adult,logreg,linshap,206,0.5190893027471324,-2.220446049250313e-16,1.0
adult,logreg,linshap,207,0.9999999999999971,2.220446049250313e-16,1.0
adult,logreg,linshap,208,0.9357257008845608,0.0,1.0
adult,logreg,linshap,209,0.9804955247881091,0.0,1.0
adult,logreg,linshap,210,0.9785609340491417,0.0,1.0
adult,logreg,linshap,211,0.5167686275287532,0.0,1.0
adult,logreg,linshap,212,0.7246774046764528,2.220446049250313e-16,1.0
adult,logreg,linshap,213,0.9687092422343145,0.0,1.0
adult,logreg,linshap,214,0.9875858549693189,0.0,1.0
adult,logreg,linshap,215,0.8868369823644784,2.220446049250313e-16,1.0
adult,logreg,linshap,216,0.5551401586794678,-2.220446049250313e-16,1.0
adult,logreg,linshap,217,0.5808094610692791,0.0,1.0
adult,logreg,linshap,218,0.9625817299771953,2.220446049250313e-16,1.0
adult,logreg,linshap,219,0.9886624805735929,2.220446049250313e-16,1.0
adult,logreg,linshap,220,0.9947346944391949,2.220446049250313e-16,1.0
adult,logreg,linshap,221,0.6077991185301834,0.0,1.0
adult,logreg,linshap,222,0.9487155812467613,0.0,1.0
adult,logreg,linshap,223,0.6808409662120931,-2.220446049250313e-16,1.0
adult,logreg,linshap,224,0.5922246276797574,-2.220446049250313e-16,1.0
adult,logreg,linshap,225,0.8055361462366925,2.220446049250313e-16,1.0
adult,logreg,linshap,226,0.9894705255285711,0.0,1.0
adult,logreg,linshap,227,0.9432159278479695,0.0,1.0
adult,logreg,linshap,228,0.9948763388889652,0.0,1.0
adult,logreg,linshap,229,0.9189657672366721,0.0,1.0
adult,logreg,linshap,230,0.9719912093133922,0.0,1.0
adult,logreg,linshap,231,0.6858365563131316,0.0,1.0
adult,logreg,linshap,232,0.8118674733639561,-2.220446049250313e-16,1.0
adult,logreg,linshap,233,0.9574958232539075,2.220446049250313e-16,1.0
adult,logreg,linshap,234,0.5266080407599218,-2.220446049250313e-16,1.0
adult,logreg,linshap,235,0.5105946736219856,-2.220446049250313e-16,1.0
adult,logreg,linshap,236,0.8837927775708236,0.0,1.0
adult,logreg,linshap,237,0.940889131909221,0.0,1.0
adult,logreg,linshap,238,0.9873379328942578,0.0,1.0
adult,logreg,linshap,239,0.9893933200294258,0.0,1.0
adult,logreg,linshap,240,0.9524294728655557,0.0,1.0
adult,logreg,linshap,241,0.6278258915220164,-2.220446049250313e-16,1.0
adult,logreg,linshap,242,0.7167225734802639,0.0,1.0
adult,logreg,linshap,243,0.9404498747248169,0.0,1.0
adult,logreg,linshap,244,0.9969706759038527,0.0,1.0
adult,logreg,linshap,245,0.9843142926750182,-2.220446049250313e-16,1.0
adult,logreg,linshap,246,0.9849012595330497,-2.220446049250313e-16,1.0
adult,logreg,linshap,247,0.9336006951222273,0.0,1.0
adult,logreg,linshap,248,0.8104215329494684,-2.220446049250313e-16,1.0
adult,logreg,linshap,249,0.7931688170767357,-2.220446049250313e-16,1.0
adult,logreg,linshap,250,0.9895376342577563,0.0,1.0
adult,logreg,linshap,251,0.8402008297879033,2.220446049250313e-16,1.0
adult,logreg,linshap,252,0.9825130442826048,0.0,1.0
adult,logreg,linshap,253,0.9020101831463908,2.220446049250313e-16,1.0
adult,logreg,linshap,254,0.9698492176174224,0.0,1.0
adult,logreg,linshap,255,0.8890088086808319,-2.220446049250313e-16,1.0
adult,logreg,linshap,256,0.9902279576040268,0.0,1.0
adult,logreg,linshap,257,0.8335006008269474,2.220446049250313e-16,1.0
adult,logreg,linshap,258,0.721533223554272,-2.220446049250313e-16,1.0
adult,logreg,linshap,259,0.7624954325765121,-2.220446049250313e-16,1.0
adult,logreg,linshap,260,0.9526045633558164,0.0,1.0
adult,logreg,linshap,261,0.666740553889316,2.220446049250313e-16,1.0
adult,logreg,linshap,262,0.9960650560408147,0.0,1.0
adult,logreg,linshap,263,0.5189061600220031,2.220446049250313e-16,1.0
adult,logreg,linshap,264,0.7338364947651004,0.0,1.0
adult,logreg,linshap,265,0.9986989960103205,-2.220446049250313e-16,1.0
adult,logreg,linshap,266,0.9981679563063629,0.0,1.0
adult,logreg,linshap,267,0.8435876733930247,-2.220446049250313e-16,1.0
adult,logreg,linshap,268,0.7149347411607192,2.220446049250313e-16,1.0
adult,logreg,linshap,269,0.51437301276479,0.0,1.0
adult,logreg,linshap,270,0.756919816565265,0.0,1.0
adult,logreg,linshap,271,0.5125820117267075,0.0,1.0
adult,logreg,linshap,272,0.9077922788984708,2.220446049250313e-16,1.0
adult,logreg,linshap,273,0.5725208032092528,2.220446049250313e-16,1.0
adult,logreg,linshap,274,0.5965100447712492,0.0,1.0
adult,logreg,linshap,275,0.8959664028679653,2.220446049250313e-16,1.0
adult,logreg,linshap,276,0.8713284753842737,-2.220446049250313e-16,1.0
adult,logreg,linshap,277,0.5773155135865784,0.0,1.0
adult,logreg,linshap,278,0.9950836295648451,0.0,1.0
adult,logreg,linshap,279,0.5304187187847871,-2.220446049250313e-16,1.0
adult,logreg,linshap,280,0.9884173557516032,2.220446049250313e-16,1.0
adult,logreg,linshap,281,0.9960639624740487,0.0,1.0
adult,logreg,linshap,282,0.7320054706065243,0.0,1.0
adult,logreg,linshap,283,0.7415775240004537,-2.220446049250313e-16,1.0
adult,logreg,linshap,284,0.9634955049313862,0.0,1.0
adult,logreg,linshap,285,0.9209228567853784,0.0,1.0
adult,logreg,linshap,286,0.8106976900543389,-2.220446049250313e-16,1.0
adult,logreg,linshap,287,0.9960539278453971,0.0,1.0
adult,logreg,linshap,288,0.5553834005700856,-2.220446049250313e-16,1.0
adult,logreg,linshap,289,0.7459014825684109,0.0,1.0
adult,logreg,linshap,290,0.8138569318461524,-2.220446049250313e-16,1.0
adult,logreg,linshap,291,0.9793094982838901,2.220446049250313e-16,1.0
adult,logreg,linshap,292,0.8872427192710628,0.0,1.0
adult,logreg,linshap,293,0.7454426932992924,0.0,1.0
adult,logreg,linshap,294,0.9086000435316102,0.0,1.0
adult,logreg,linshap,295,0.9975102626721741,2.220446049250313e-16,1.0
adult,logreg,linshap,296,0.9772491960502935,0.0,1.0
adult,logreg,linshap,297,0.9400792494523715,0.0,1.0
adult,logreg,linshap,298,0.8528079109424276,0.0,1.0
adult,logreg,linshap,299,0.93174043854026,-2.220446049250313e-16,1.0
adult,logreg,linshap,300,0.7173584602374303,0.0,1.0
adult,logreg,linshap,301,0.8908955522886123,0.0,1.0
adult,logreg,linshap,302,0.7028139741831416,2.220446049250313e-16,1.0
adult,logreg,linshap,303,0.7023164740980028,0.0,1.0
adult,logreg,linshap,304,0.9888047576092489,-2.220446049250313e-16,1.0
adult,logreg,linshap,305,0.9807182168709063,0.0,1.0
adult,logreg,linshap,306,0.9429213641340098,0.0,1.0
adult,logreg,linshap,307,0.991846098626144,0.0,1.0
adult,logreg,linshap,308,0.9976677713398792,0.0,1.0
adult,logreg,linshap,309,0.9994453498898818,-2.220446049250313e-16,1.0
adult,logreg,linshap,310,0.7331704155617066,-2.220446049250313e-16,1.0
adult,logreg,linshap,311,0.9873537435287931,2.220446049250313e-16,1.0
adult,logreg,linshap,312,0.7935930026839263,2.220446049250313e-16,1.0
adult,logreg,linshap,313,0.8331193634403018,-2.220446049250313e-16,1.0
adult,logreg,linshap,314,0.9847846070615986,-2.220446049250313e-16,1.0
adult,logreg,linshap,315,0.999248149024808,0.0,1.0
adult,logreg,linshap,316,0.9931971071938974,2.220446049250313e-16,1.0
adult,logreg,linshap,317,0.8679158673188538,2.220446049250313e-16,1.0
adult,logreg,linshap,318,0.6461938115061847,2.220446049250313e-16,1.0
adult,logreg,linshap,319,0.7356382495771797,-2.220446049250313e-16,1.0
adult,logreg,linshap,320,0.9999504689130703,-2.220446049250313e-16,1.0
adult,logreg,linshap,321,0.973252467963763,-2.220446049250313e-16,1.0
adult,logreg,linshap,322,0.9806101809713559,2.220446049250313e-16,1.0
adult,logreg,linshap,323,0.9694622958241637,0.0,1.0
adult,logreg,linshap,324,0.7374212942575291,0.0,1.0
adult,logreg,linshap,325,0.9253484209225536,0.0,1.0
adult,logreg,linshap,326,0.9714234169493056,-2.220446049250313e-16,1.0
adult,logreg,linshap,327,0.9825878008668057,2.220446049250313e-16,1.0
adult,logreg,linshap,328,0.5677761069199927,2.220446049250313e-16,1.0
adult,logreg,linshap,329,0.7104871261587855,-2.220446049250313e-16,1.0
adult,logreg,linshap,330,0.9810149893004839,0.0,1.0
adult,logreg,linshap,331,0.9906660941554662,2.220446049250313e-16,1.0
adult,logreg,linshap,332,0.8653923165164311,0.0,1.0
adult,logreg,linshap,333,0.7704175926776923,0.0,1.0
adult,logreg,linshap,334,0.9958521234194085,0.0,1.0
adult,logreg,linshap,335,0.8251248181965544,0.0,1.0
adult,logreg,linshap,336,0.7212159761292036,0.0,1.0
adult,logreg,linshap,337,0.9961528296119757,2.220446049250313e-16,1.0
adult,logreg,linshap,338,0.8358218082991741,-2.220446049250313e-16,1.0
adult,logreg,linshap,339,0.5785434377694397,-2.220446049250313e-16,1.0
adult,logreg,linshap,340,0.9810723164016025,0.0,1.0
adult,logreg,linshap,341,0.9223174205474421,0.0,1.0
adult,logreg,linshap,342,0.582662058914759,0.0,1.0
adult,logreg,linshap,343,0.9350999418910788,0.0,1.0
adult,logreg,linshap,344,0.9759136216691517,2.220446049250313e-16,1.0
adult,logreg,linshap,345,0.688737000827998,0.0,1.0
adult,logreg,linshap,346,0.8617884487594981,0.0,1.0
adult,logreg,linshap,347,0.8710699069530943,-2.220446049250313e-16,1.0
adult,logreg,linshap,348,0.9017298770793886,2.220446049250313e-16,1.0
adult,logreg,linshap,349,0.5873597184956585,-2.220446049250313e-16,1.0
adult,logreg,linshap,350,0.9989355758344625,0.0,1.0
adult,logreg,linshap,351,0.9778950991082247,0.0,1.0
adult,logreg,linshap,352,0.594755091679896,0.0,1.0
adult,logreg,linshap,353,0.9973453618199508,0.0,1.0
adult,logreg,linshap,354,0.9079554041963099,0.0,1.0
adult,logreg,linshap,355,0.550931292394303,0.0,1.0
adult,logreg,linshap,356,0.7057731921403888,2.220446049250313e-16,1.0
adult,logreg,linshap,357,0.6110611379474571,0.0,1.0
adult,logreg,linshap,358,0.695015485841221,-2.220446049250313e-16,1.0
adult,logreg,linshap,359,0.5221911788822913,2.220446049250313e-16,1.0
adult,logreg,linshap,360,0.781897849879349,0.0,1.0
adult,logreg,linshap,361,0.915128352772425,0.0,1.0
adult,logreg,linshap,362,0.9930387257514142,-2.220446049250313e-16,1.0
adult,logreg,linshap,363,0.9966537523877429,2.220446049250313e-16,1.0
adult,logreg,linshap,364,0.9966954060356088,0.0,1.0
adult,logreg,linshap,365,0.8463320495017721,-2.220446049250313e-16,1.0
adult,logreg,linshap,366,0.696808259912957,0.0,1.0
adult,logreg,linshap,367,0.9752522175355406,0.0,1.0
adult,logreg,linshap,368,0.9909960044651726,0.0,1.0
adult,logreg,linshap,369,0.951867956663041,-2.220446049250313e-16,1.0
adult,logreg,linshap,370,0.836106500279252,2.220446049250313e-16,1.0
adult,logreg,linshap,371,0.9877217397127824,0.0,1.0
adult,logreg,linshap,372,0.8614247135930047,0.0,1.0
adult,logreg,linshap,373,0.8661248644270415,2.220446049250313e-16,1.0
adult,logreg,linshap,374,0.7342454207053872,-2.220446049250313e-16,1.0
adult,logreg,linshap,375,0.9834425972315819,0.0,1.0
adult,logreg,linshap,376,0.7146016047001298,2.220446049250313e-16,1.0
adult,logreg,linshap,377,0.9116447934720344,0.0,1.0
adult,logreg,linshap,378,0.7386251052080345,2.220446049250313e-16,1.0
adult,logreg,linshap,379,0.500368928417946,0.0,1.0
adult,logreg,linshap,380,0.8699277722003596,2.220446049250313e-16,1.0
adult,logreg,linshap,381,0.995421003730433,2.220446049250313e-16,1.0
adult,logreg,linshap,382,0.9808033090909195,2.220446049250313e-16,1.0
adult,logreg,linshap,383,0.9791589632378745,2.220446049250313e-16,1.0
adult,logreg,linshap,384,0.9787250491822583,0.0,1.0
adult,logreg,linshap,385,0.7316761658676191,0.0,1.0
adult,logreg,linshap,386,0.8140333416513439,2.220446049250313e-16,1.0
adult,logreg,linshap,387,0.7330911899709922,0.0,1.0
adult,logreg,linshap,388,0.9842540770054093,0.0,1.0
adult,logreg,linshap,389,0.80828586868939,-2.220446049250313e-16,1.0
adult,logreg,linshap,390,0.7702813158915293,-2.220446049250313e-16,1.0
adult,logreg,linshap,391,0.9900923183902434,0.0,1.0
adult,logreg,linshap,392,0.7155653867902327,-2.220446049250313e-16,1.0
adult,logreg,linshap,393,0.9464633539262144,-2.220446049250313e-16,1.0
adult,logreg,linshap,394,0.9952870253447299,0.0,1.0
adult,logreg,linshap,395,0.7393317897490249,2.220446049250313e-16,1.0
adult,logreg,linshap,396,0.9659629341064031,0.0,1.0
adult,logreg,linshap,397,0.9473854589701721,0.0,1.0
adult,logreg,linshap,398,0.9991915632675867,-2.220446049250313e-16,1.0
adult,logreg,linshap,399,0.6098224658881843,0.0,1.0
adult,logreg,linshap,400,0.8764471570867283,-2.220446049250313e-16,1.0
adult,logreg,linshap,401,0.9846449105748304,-2.220446049250313e-16,1.0
adult,logreg,linshap,402,0.5295873223311478,-2.220446049250313e-16,1.0
adult,logreg,linshap,403,0.8873894037664753,-2.220446049250313e-16,1.0
adult,logreg,linshap,404,0.987475278950835,0.0,1.0
adult,logreg,linshap,405,0.5818236174244317,0.0,1.0
adult,logreg,linshap,406,0.9675674741534976,0.0,1.0
adult,logreg,linshap,407,0.8559038532772378,0.0,1.0
adult,logreg,linshap,408,0.9869688604821129,2.220446049250313e-16,1.0
adult,logreg,linshap,409,0.8462735293335338,0.0,1.0
adult,logreg,linshap,410,0.6072831700643937,0.0,1.0
adult,logreg,linshap,411,0.9977245613038462,2.220446049250313e-16,1.0
adult,logreg,linshap,412,0.910897963285246,-2.220446049250313e-16,1.0
adult,logreg,linshap,413,0.957092048605077,0.0,1.0
adult,logreg,linshap,414,0.9473024193549426,-2.220446049250313e-16,1.0
adult,logreg,linshap,415,0.9857592928732325,-2.220446049250313e-16,1.0
